,topic,document
368,-1,"This is a cheap product, don't buy it"
369,1,"I bought this mouse to replace one that had the mousewheel break.  To be honest, I loved this mouse  at first - the lights, the feel, everything.  However, I was not a fan of the extra added adapter to make it USB-C compatible.  Here I am 2 months after I bought it and the mousewheel no longer functions on this mouse as well.  For some reason the companies that make these portable mouse (mice?) cannot make one that has a sturdy mouse wheel.  Oddly enough, the one thing I didn't like about the mouse originally, became my favorite thing now that it is broken - the adapter to allow me to run regular USB on a USB-C port."
370,4,Within a week of my son using it the scroll button broke. Somehow it’s outside the return window so now we are stuck with it.
371,1,"I ordered 2 - the track ball broken in the silver one within 60 days, the right click broke on the rose gold one within 90 days. I only use them for light use - no gaming and they are not sturdy at all. They were both difficult to charge"
372,27,Skips around and freezes when clicking on things. Save your money!
373,9,I’ve used it only for 6-7 times from Jan to July. Now it won’t on. Don’t buy
374,4,This product is very cheaply made. I purchased this mouse because my daughter liked the lighting on the side of the mouse.  However the wheel that controls how you scroll up and down on a web page easily  breaks off and you have to return it or buy another one.  Buyer beware take it from a father who has went through 3 of them.
375,1,"I had to buy two different mice within 4 months. The scroll button stopped working on both devices. Other than that, okay product. LED light function is cool, sleek style and easily rechargeable."
376,0,"Quiet, fast, works super well! I don’t game but I use it for work and it’s perfect"
377,1,I use this mouse for work. It didn’t require any weird setup like downloading software. It’s super comfy and has a sleep mode that activates after about 15 minutes. A click of the button wakes it up and it’s ready to go. I don’t regularly use the light up mode but it is a cool feature that is fun to show off. I have carpal tunnel and it’s so much better on my wrist than a standard wired computer mouse. Most definitely worth the purchase!
378,4,The scroll wheels does not work on this mouse
379,1,The mouse itself is great - works well. however the roller ball on the top of the mouse broke and no longer works. It has only been 6 weeks since purchase.I do like that the lights have an on/off function so you don't need to have it lit all the time which makes it more appropriate when in a work environment.
380,1,I use this in class and at home and there is not any noise when you are clicking the buttons. Which is nice when we are quietly working on things. I would highly recommend! The color changing is also great!
381,11,I guess almost a year for under $10 is good enough.  Especially if you want one that recharges because you don't like fooling around with AA batteries. Battery life was good. I could use it all day with no problems.
382,1,"About 7 weeks, after return window closed, quit working completely. I should have returned sooner as the charge lasts only about one full work day. Spent a lot of time fooling around with a mouse, a tool that should be something you don’t have to think about or make plans to be available for use. Going back to tried and true battery wireless which lasts about a year and no hassle."
383,-1,Good
384,1,It was most important to me to have a quiet scrolling mouse for my laptop. This mouse has quiet/silent scrolling and silent clicking. Very impressed! The mouse is more of a flat design. The lights around it are pretty neat. There is an on/off switch on the bottom of the mouse that includes an option for the lights as well. Nice mouse for a great price.
385,1,It was fine until it just stopped working 3 months in. Do yourself a favor and spend a little more money to get a well known brand like Logitech.
386,1,"I bought five of them this year and three already broke after a few months of light use. Two had the plastic wheel axle broken, the another one just stopped charging and not recognized by Windows anymore. In addition, the USB dongle cover separated and got stuck in the laptop USB port. This mouse is flimsy and does not last. Not very ergonomical as well. Cool lights is the only positive thing to say about this mouse, but it eats battery. Avoid."
387,4,"I Purchased this for my office work and it broke down after 2weeks, the scroll wheel stopped functioning. Be aware of this and look for something else with better quality.Thanks"
388,21,Do not recommend! Just purchased in June and it's already broken in August.
389,1,"I have logitech keyboard that I use with no problem with my other mouse, but when i plug this mouse in, the keyboard stops working. The dongle is also hard to remove from the back of the mouse. I had to get something small to pry it out. I little space for your finger to grab it more easily would have been nice."
390,4,Don't buy...Scroll not working
391,-1,Love it...good price and product.
392,-1,"It’s rechargeable, and the battery lasts quite some time, of course I always turn it off once I’m done using it. But no more batteries. Comes with the charger as well. What more could you ask for!"
393,1,This mouse lasted 31 days just passed the returnable date.Just quite working no matter how many hours I let it recharge.
394,1,Mouse will not work. I have only had it for about 45 days and the mouse just stopped working. Will not charge either.
395,-1,"I feel like I won this out of a cheap Gumball machine.  Plastic, doesn’t feel like it’s going to last long."
396,1,"I ordered my first mouse, it broke in two weeks. Returned & reordered- this one broke just a few days after the return window closed. Don’t waste your money."
397,4,So I loved this and I use a computer daily so you could say it is only intended for rare usage. It broke within the month. I was sad. Specifically the scrolling button.
398,1,"LED Wireless Mouse, Rechargeable Slim Silent Mouse is easy to use, lightweight, and easy to recharge. The charge last a long time."
399,1,"I was super excited to use this mouse for my MacBook, but it won't even charge. I would return, but do not have the packaging anymore. DO NOT BUY."
400,1,"It does not move correctly. When you move the mouse the cursor doesn’t move same thing when you click on something, you have to click a million times before it opens up what your doing or closes what your doing."
401,3,Ease of installing and very super cool looking at my laptop!
402,5,I have been using this for less than a month and it doesn’t work. It doesn’t hold a charge.
403,1,"This mouse has The Quietest click of any mouse I've ever owned. And it puts itself to sleep if I don't move it for a while. It's magical. I wasn't sure about the color changing light, but it's not overpowering or distracting. I've had a very long line of previous wireless mice, but I think this is my favorite. Very pleased with this purchase."
404,14,Broke within two hours of using it you really gotta watch the Amazon return policy on electronics I have a tendency to buy it and I leave it sitting in the box for way too long.  Bad me because this is the second or third time I’ve gotten burned on crap like this.
405,1,"Love this mouse! I got it to replace my Logitech mouse because it was glitching. You can’t beat the price for this one, it’s light weight, and the colors are nice!"
406,1," The ergonomic feel of the mouse is great and the battery life is amazing. It is lightweight and feels cheap. White matches my setup but it’s translucent and takes way from the aesthetic. It is connected less than a ft away and it still loses connectivity which causes it to lag. It makes it completely useless to me. I don’t recommend you buy it, at least not the white one and be aware of the lagging."
407,6,"Great product, very competitive price."
408,1,I purchased for my kids to use while doing online class work. It was easy to set up and seems to work well. I was hoping for something that felt more sturdy. It feels very cheap. The kids love the changing lights while they use the mouse. My only complaint is that if they don’t remember to turn off the noise after use then it dies and has to be recharged before if can be used again
409,4,"Loved this mouse but it breaks super easily. I liked it and figured I'd give it another chance so I bought a second one and it broke after 3 months. It's soft to the touch, and very quiet which I liked. Unfortunately, both times the scroll button stopped working (feels like it detaches). You get what you pay for."
410,1,I really like this. This is a replacement for a broken battery operated one I used to have. I love that this can charge from a USB port and I'm not having to rely on batteries or worry that they might run out at an inconvenient time. It's got cool lights around the side and it works well on a lot of surfaces. I use my laptop in a recliner chair and this works running on the edge of the chair just fine. I've also used it on wooden table top and vinyl countertop surfaces with good results. It does take just a second when the laptop boots up to locate but that's minimal. The USB wireless component is small and fits really inconspicuously into an unused port on my laptop without being in the way at all. All in all I've been very happy with the quality and efficiency. This was a great purchase.
411,19,I have never used it because everything is in Chinese even the machine it self .
412,3,I like that you change button on the back so it stays red and that the blue light stops showing once its done charging. The only thing is I wish it would show you how much battery it has left.
413,1,Good for the price. It also doesn't make the typical mouse clicking sound. You can barely hear it.
414,1,"I bought one to try for myself at home, and loved it so much I ordered two more to use at work. This is the best wireless mouse I've ever had. Great value, too!"
415,1,Precise! LED optional  ...  lightweight ~ mouse has a slot for Bluetooth and is rechargeable! No more batteries!Stellar with the 3M precision mouse pad
416,-1,"I didn't realize that it was rechargeable vs a battery.  However, it gets the job done and it comfortable to use."
417,4,It looks great and feels good in the hand but the scroller broke after a couple months.
418,4,I received this product in the mail and when first handled it felt very cheap.. I proceeded to use it on my laptop and the mouse wheel wasn’t working at all
419,1,"I was not fond of this mouse - the ergonomics too flat or charge life. Now after 5 months of average to minimum use it will not charge. My system gives an error message of ""malfunctioning device"". I tried a different USB cord with the same response.I DONOT RECOMMEND THIS MOUSE!"
420,-1,"Exactly what I was looking for, but get a longer micro-USB to USB-A charging cable. The one it comes with is only about 3 inches long—just long enough to charge off your laptop."
421,3,Appearance & size with built in charging.
422,4,"Loved this mouse. Worked great. After having it for 4 months, the scrolling piece in the middle broke. I was not rough with it. I did not drop it. Just stopped working out of nowhere."
423,1,I loved this product when I first received it. It lit up and lightweight and just pretty. But that was very short lived. It stopped working after just 2 weeks of using it. Good thing it was on the cheaper side. Maybe it was a disposable mouse that only was supposed to work for a short period?
424,1,"Don't buy it! For one is very inconvenient rechargeable - you never know when mouse is out of juice. Two, mouse is dead after just 2 MONTHS"
425,-1,I've had the product for less than two months and it no longer works. Really disappointed.
426,1,Super sleek and super quiet. I love this mouse!!
427,5,"I bought this a first time and after a few months it died completely, even after being charged it will not respond when turned back on. I thought it might just be a one time defect and bought another. This time it died completely after 1 month. Nice while it worked, but will not be buying a 3rd time."
428,-1,More technical trash
429,1,"It’s lightweight, colorful, and it charges using a usb. No more changing out batteries. I love that!! It does go into sleep mode when I haven’t used it for a period of time (meaning it’s just idling). I haven’t found out how to wake it up so I just flip it over switch it off and on back again to resume using it."
430,4,Worked great while it lasted. The roller wheel stopped working first week back to school after summer break.  The roller wheel just spins in place. One of the “arms” snapped. It has been kept in a protective pouch.
431,-1,"Love the LED lights, connects quickly. The rechargeable feature is great until you forget to recharge"
432,1,"I have small hands and my old mouse was too big for my hand.  This mouse is lower, so I don't need to move my wrist and fingers higher to click.  It's not a cure, but it's great that it fits my hand much better and doesn't put as much strain on my hand."
433,0,nice comfy and also very smooth
434,-1,Should have had a usb-c charging port on it instead of micro USB. Otherwise it's great for my daughter's 5 year old hands.
435,4,"Scrolling roller ball doesn’t function, just freely spins without engaging."
436,1,"I bought this mouse and the thing barely moves across the screen not traction! It's very cheaply made, would not recommend at all! I needed one fast cause my old one is going I've had for years. This mouse will not last four years!"
437,12,"after 2 months of somewhat daily usage just for checking emails occasionally or something fast, the middle wheel stopped working making it a pain in my ass to use. I would recommend staying clear since it only has a 30-day warranty."
438,1,"The mouse functions well. However, after a few days, I noticed that the multicolor lights no longer changes. I hope to find some way to fix it."
439,1,"Bought this in June ... IT's DEAD. Plus when in wireless mode, frequently ... multiple times per day, the mouse drops connection. Cheap product, would rather have a working product!"
440,1,"The charge for this mouse only lasts a day. Very annoying. And it isnt the most quiet either. Feels cheap, performs meh. Dont waste your money."
441,0,Not functional for gaming if the charge doesn't last.
442,19,It works great & is fast.
443,1,I love how cute this mouse is.  I use it for work.  It goes into sleep mode pretty quickly but one click and you're back up and running! I charge it once a week.
444,1,"When my 5 year old wired mouse finally died I started looking at replacement options.  I have never liked wireless mice due to the constant need for batteries and finding some in the office or while traveling is always a huge pain.  Finding out that there are rechargeable options out there was a game changer.  So far after about two weeks of use I love feel of the mouse, the pointer speed which is adjustable, and well the fact that I just plug it in to charge.  While the receiver is USB A and comes with an adapter for USB C, the charging port on the mouse is micro USB, the charging cable that comes with is USB A to micro USB (~6 inches) incase you want a longer one like I did.  One thing though, I do have small hands so the size is perfect, someone with small to medium sized hands will like the feel and size of the mouse, if you have large hands it may feel to small.All in all I liked it so much I ordered a 2nd one for my work laptop bag to replace the wired mouse that I travel with."
445,4,"Not worth it, I had this for only 3 months and it broke. It just stopped working, I could not scroll at all no matter what I did. NOT WORTH THE MONEY. Then after contacting Amazon I was charged a 2 dollar restocking fee, for them and had to send it back on my own."
446,1,The different colored lights stopped working after a week and it only had a red light. After two months the mouse stopped working entirely. Sucks because it's too late to return it
447,-1,great product
448,1,"I really like this mouse, it is low profile and fits my small hands perfectly. The only thing I really don't like about it is all the flashes of different color lights on it. I need to check to see if there is a way to disable the light feature. Otherwise, a very nice mouse !!!"
449,4,Scroll button stopped working within 2 weeks
450,5,Won't hold a charge
451,1,"This mouse is wonderful to use for precise things such as line drawing and making flow charts.  It is super comfortable to use.  Unfortunately,  I bought this at the beginning of the year and now it will not charge, so I basically now have a corded mouse which is what I needed to avoid.  So, until I find a highly rated cordless, or a battery operated one, I will be tied to the computer (literally)"
452,1,I started using this product exactly a month ago. It will not work now unless it’s plugged into the charger. Which defeats the purpose of a wireless mouse. Can’t recommend.
453,5,I bought this for work..I had it maybe couple of weeks and it stopped working..couldn't get it to hold a charge..
454,1,"The mouse worked well for 1 day, but nowhere cursor is non-responsive. I checked to make sure it was fully charged, did some troubleshooting, and moved the USB to multiple ports on the laptop. Nothing worked. I'm guessing I just received a dud? Or maybe the mouse just isn't compatible with my laptop? I've used multiple wireless mouses with this laptop; this is the first time I've ever had an issue. Make sure you try the mouse out right away (after charging) upon receiving it (incase it doesn't work and needs to be returned)."
455,9,Stopped working in about an hour.
456,4,The mouse worked for a couple weeks but now the scroller just spins freeling and won’t scroll one through pages. Really disappointed because the mouse as a whole worked pretty well for the last couple weeks. Hopefully just a defective model. Will be returning the item and seeking a replacement
457,1," Light pink, quiet when I click. Smooth across my mouse pad and does not get stuck. LED lights change often. All as advertised from my concern."
458,1,Does all the things a mouse should.  The sleep mode is a nice touch.
459,4,Worked great...for a month then the center button stopped working.
460,5,It was working well until it just stopped working after 3 months. It won’t charge and turn on anymore pretty much useless now. Not well made and it’s a waste of money if you’re looking for a reliable and and an item that will last long do not get this one coz you will be disappointed. I tried my luck and didn’t listen to the reviews I read now I am so disappointed. Could have spend $10 more to a most reliable and long lasting one.
461,1,I charged this mouse one time for an hour and it’s been going for a month now on that one charge. The clicks are silent. I love this comfortable mouse!Edit: loved it until the scroll wheel stopped working.
462,4,Scroll bar broke a month after getting it.
463,1,"I tried to give this mouse some time. I tried it on different surfaces. In all cases it skipped around and was very hard to work with. Unfortunately,  because of vacation and because I tried to make it work,  I missed the return window…., By one day! That just frustrates me even more."
464,4,"I purchased this in February 2022, it began tracking poorly in July and stopped scrolling in August."
465,1,"Was decent first month, very flat so not ergonomic but that's personal taste. Issue is this is already broken. The scroll wheel no longer works.....even for a $10 mouse, that's pretty pathetic since I've had other mouses for years at a time. I had the same issue as other reviews with the cursor randomly jumping too so there might be some design issue with the sensor."
466,1,"This mouse was purchased for a 10 year old girl.  She loves the colors, the fit, and the fact that it works without making noise."
467,4,I bought this 5 weeks ago and now the scroll doesn't work.  If you need a mouse choose something other than this.
468,-1,Junk
469,-1,don't spend your money on this crap
470,1,"I am very happy with this mouse, the colors are interesting and the fact that I don't have to buy batteries is an added plus!!"
471,-1,Perfect
472,3,It says it is supposed to install hardware automatically and should work once completed however that is not the case for mine and it doesn't tell me what should be installed for me to try to find it on my own
473,6,I hate this product
474,18,Bought this on Prime day and it does not disappoint!  The silent click and long charge life is great.  Love the sleep mode and the slim feel.  Will be buying another one.
475,1,"After two days of using , the mouse went dead and would not work again no matter how long I charged it ."
476,1,"I'd gotten a mouse/ mouse pad combo at TJ Maxx, but there was no usb to connect it to my laptop-- so i ordered this online. It was a good price and shipped quickly, and I am so glad I ordered it. It's way cooler than the other one I bought and feels like it's made better. It lights up, there's an on/off and sleep mode to preserve battery. Also works so seamlessly and smooth. Great product, thanks!"
477,0,I don't use for gaming
478,25,Works great
479,4,"the mouse itself was fine at first, worked great and i liked the shape and sound. but the wheel started to squeak, and it always scrolled too fast for my liking. and now the mouse won’t work at all, always jumping around the screen, spinning, lagging, or unresponsive. really annoying when i’m trying to play games. it does this when the battery is getting low too. not a fan. it works sometimes flat on my desktop but then it slowly gets worse and worse as the night goes on. and now it won’t even read on my mousepad at all? it HAS to be on the desktop to make it work, even poorly."
480,1,"I really loved this mouse.  I did not replace it with the same mouse, however because the wheel broke.  I only use this device M-F for work.  I'm not a gamer or anything like that.  I've had wireless mice that do not break for years previously.  Great color, very cool looking.  Will miss using this.  Not sure if there is any warranty"
481,4,"I liked everything about this mouse, was working great the couple of times a week that I used it. Then one day… the scroll wheel stopped working completely. No it’s not dirty, there is no resistance it feels like it is free wheeling in there. No explanation. Past “return period.”"
482,1,Be sure your computer is on in order to see the lights on the white mouse :) was so close to returning it as my other mouse with lights was always on regardless of my computer. But glad I problem solved my own problem!
483,1,"might work for low use, we shall see and I'll update this review after a week or so of use.Update: received 11Aug  mouse died 22Sep RIP"
484,1,Cute mouse . . . I just love how it lights up with the different colors.
485,9,It worked for about 3 weeks plus afew days before it stopped working.
486,19,It had worked very well for me for about 2 years and it’s very aesthetic!
487,4,"Mouse worked fine for two weeks. Shape took some getting used to since it’s low profile. Charge held up pretty well. BUT the scroll wheel broke after a few weeks of use, so in the trash it goes."
488,3,"It is quite nice, it has an interesting style and the colored lights give it a special touch, unfortunately in terms of performance is lousy, the sleep mode seems to fail constantly, sometimes it turns off for no reason and stops working for a while (being fully charged) so it must be damaged internally. Very disappointed with this product, no matter how nice it is it is not worth buying if it does not fulfill its main function."
489,4,The scrolling wheel is already broken and havent even used the mouse for a month.
490,22,Love how Amazon is fast and product is great
491,5,It’s honestly awful it won’t charge and I’ve tried four different chargers.
492,-1,Great purchase
493,-1,"Pretty easy to use and set up, comes with a charger. I expected the lights to be a bit more appealing but they’re mainly just solid colors when you have it on the led light mode. Fits snug with my hands and does the job for the most part so complain. Probably wouldn’t use for gaming purposes though."
494,3,Purchased for daughter and she didn’t like the ergonomics of it. I threw it in my work travel bag and have ended up using it. Works well and battery lasts a while. It’s also a nice conversation piece in meetings ;-)
495,6,The product is good and operates well.
496,4,"Nice mouse -- if it worked! The first one I purchased worked for about a month. When the scrolling wheel broke, the company replaced it, free of charge. Now, six months later, the second one has quit working; won't hold a charge."
497,7,I love it
498,1,"My son wanted this for his Macbook, so I will tell you it needs an adapter. The Macbook doesn’t have a USB port. But after that he is pleased with the performance. He uses it to play games too and says it is responsive."
499,1,Mouse is easy to use and works well. However the first time I put it in my bag the color chipped off the mouse. Now I have a teal mouse with white specks. Super disappointed
500,3,This is the cheapest thing I have ever seen the quality is horrible! Holding it in my hand feels like it weighs nothing it is extremely cheap. The lights are neat tho. They should be ashamed selling this for anymore then 2$
501,5,Literally will not charge or hold a charge
502,1,This mouse only worked for one charging. When I charged it the  second time everything works backwards. want to go left it goes right your want it to go up it goes down. I DON'T  recommend this item they say you can't return it.
503,23,Charge didn’t last all day and then delay kept getting longer. I simply don’t have time to hook it to a cord and there’s no battery charge option.
504,-1,Stops working a week after buying do not waste your money. Mine won’t stay connected to my computer constantly having to reconnect it
505,14,It broke literally less than a month and ive never even dropped it. Super disappointed and waste of money.
506,4,"I used this very infrequently, and the spinning wheel broke within a couple months."
507,3,Great product but a little too flat for me.
508,8,Love it will have to but another one....
509,0,"works well, silent, durable (so far so good)"
510,12,My son was using it for his laptop for school and it stopped working didn’t want to work nomore .
511,1,"I'm not too happy with this LED MOUSE, when it goes on sleep mode, I have to literally turn it off and turn it back on to boot up again. I'm thinking of returning it and get a full refund on this product."
512,1,Mouse works well and holds a charge for several 8 hour work days. Only drawback for me is that the scroll wheel is loud.
513,4,"After exactly two months the roller wheel in the middle broke. I tried prying it apart and it is not fixable and is a pain to always have to use the scrollbar with the mouse. The lights are kind of distracting & not necessary. However, it does stay charged for a week or more at a time. I'm cheap and bought this for data work. It works (other than the middle wheel now) and is okay for the price or if you don't have high expectations."
514,3,Easy to use and lite weight. I will purchase another one soon
515,1,"if you want an led mouse for aesthetics, dont buy this brand.this has a flashing red led that is seperate from the rgb leds, & it stays on even when the led switch is not on."
516,1,"I tried charging the mouse but it didn’t want to charge, tried multiple cables and nothing, light kept switching and when i plugged the adapter in it didn’t pop up or recognized it."
517,3,Easy and fits my hand. I have some numbness in my right hand.
518,4,The scroll wheel stopped working 38 days after I bought it.  I used it less than 20 times
519,5,"DON'T BUY IT. IT CAN'T HOLD A CHARGE, IT MOVES ON IT'S OWN, AND WAS WAY TOO EXPENSIVE FOR HOW CRAPPY IT WAS."
520,1,Red lights stays on and nothing happens.  Really like this mouse until this happened.
521,3,Slim in the hand and works great!
522,-1,Really liked how light weight the product is however it stopped working after 2 months. The battery life was great in the beginning but now it doesn't operate even after charging it.
523,-1,"Don’t buy, died as soon as the return period is over! Can’t get a refund for it"
524,4,"I have been using this mouse for 9 days and the scroll wheel broke completely when I pressed it. It was alright in its short 9 days, comfortable. But the scroll wheel clicked very loudly which I didn’t like.Don’t waste your money."
525,1,"Cute mouse! I love the blue on it, and the lights are a cute touch. Its very lightweight! Very quiet! no clicking sounds from the mouse which is great."
526,1,"This mouse is super cute! It is lightweight, and the color matched perfectly to the picture (I got dark gray to match my Macbook Pro). The click is silent, which I love. The LED lights are bright and colorful. There is also a setting where you can just have red lights, but I love the color changing. The only downside is that this mouse does not hold a charge long enough to last my entire workday. I've started switching it off when I am away from my desk, and that help some. Charging is simple, though."
527,1,"I loved the look and feel of this mouse. However, it stopped working after only a week of using. It won’t charge at all and a coworker said she had the same issue with the same mouse. Don’t waste your money!"
528,1,"I was pleased to see just how well made the mouse was when I received it. I couldn't have asked for more for the money. It's comfortable in my hand. The rubber texture really makes using it a pleasure. The dongle storage on the bottom of the mouse isn't covered, but it's nice and tight, so I'm not worried about losing it. So far so good!"
529,3,It works smoothly and the colors are fun. Keeps charged for a good while.
530,1,"Do not buy! This mouse stopped working August 1st, yesterday, I thought it was just dead so I made sure to charge it. This morning I go to use the mouse and it still is not working, despite it being fully charged. It just doesn't turn on anymore. I am extremely disappointed because I just bought this mouse on June 29th, meaning that the return window closed on July 29th. This mouse stopped working entirely (doesn't even turn on anymore) two days after the return window closed. Do not buy this product!!! If I could give it less stars I would."
531,3,Loved by Medical assistants throughout my office.
532,1,While working on my desk a close by book fell on top of the mouse and now it doesn’t take charge. By the way it was the first day Zi was using it.
533,1,"if you leave the mouse unactive for a minute or two you have to turn the mouse off and back on or the mouse will lag, skip across the screen as you try to move the mouse around. It is extremely annoying."
534,3,Wet sleek and love the silent clicks and the lights.very satisfied with it
535,1,"This came with an adaptor to fit the Apple laptop, but is not made specifically for Apple products. The charge does not last long and needs a special adaptor. I prefer a battery operated mouse as maintaining so many different chargers on my desk is cumbersome.  The three settings for on off are also less than ideal. In summary, while this mouse is aesthetically pretty, it is not functional with the Apple products."
536,21,Quality was not worth it! Stopped working unexpectedly
537,1,I love it. Easy to install and use. Mouse is soft and movies easily.
538,1,From what I'd read this would plug into an android tablet I have so that I could control without using the touch-screen. But the adaptor did not allow this. My mistake probably.
539,1,The mouse broke a couple days after the return window. Reached out and heard nothing back. Not fun throwing money away like that.
540,26,Love it
541,4,It stopped working after three and a half months. The scroll button stopped working.
542,1,"Update - I lost my favorite mouse today. I bought it on Jun 12, 2022, reviewed it Aug 1, 2022, and it died yesterday, Aug 2, 2022. So the mouse lasted appx 11 weeks. Two and a half months is a pretty disappointing lifespan. The battery died so I plugged it in, as always, yet it doesn't connect anymore. I've tried removing the USB transmitter, rebooting the computer, plunging it in and out, and turning it off and on, but nothing. I even tried 're-charging' it, but nope. It's a lost cause.I bought this mouse to replace the wireless Logitech I was using for my laptop. It died and I decided to try this rechargeable mouse from OKIMO. I never heard of the brand but I'm impressed.This first charge lasted so long that I almost forgot it was rechargeable. I bought it in mid-June (It's Aug 1, 2022 today) and I'm just on my second charge. The first charge lasted over a month.This mouse does shut off after it's idle for a while and I'm sure that is the secret to the long battery life. Just a quick left click and it's back in business almost immediately.I love the slim feel of this mouse. It works beautifully.I thought the changing light would bother me (I'm old - 57) but it doesn't. It's more like a pleasant subdued highlight effect.I'll probably buy another one for my desktop but in another color so I don't get them mixed up."
543,5,Has not even been two weeks and it stopped working. I have it charging it’ll light up blue then it turns off within A minute
544,6,"Great for the price, hold charge for a good amount of time"
545,5,This lasts quite a while before requiring plug in!
546,-1,It is exactly as pictured. works well.
547,2, Aesthetically this is very enjoyable to use because of the changing colors of the rainbow. I like how it's wireless and it can even work from a small distance away on another table from separate from my computer. It works very well. It has an on and off button for storage.
548,1,Just love the narrow band of changing colors around the mouse. It's so cheerful.
549,1,"I love the ease of use with this mouse, the ability to charge it rather than constantly replace batteries, and to shut off or put to sleep the noise. It's durable and perfect for my usage, and I was able to get it in Pink!"
550,-1,It works
551,1,"This thing works well most of the time. If you don’t turn it off and just let it go to sleep mode, it dies fairly quickly but you still get a couple of days of use out of it (if you’re not using it 8 hours a day, at least). If you turn it off every time you’re done though you can get probably a month but at least 2 weeks out of it with moderate use. I originally bought it to use with my iPad, however the case on my iPad wouldn’t really allow the USB-C to plug into the charger port. I wish they made an option to get either a USB or a USB-C plug as you get both with this mouse but you have to plug the USB into the USB-C adapter which makes the USB-C plug significantly thicker than necessary. Now I use it for my MacBook. Just a warning, if you want it to scroll like a regular mouse you have to change it in the setting of the computer (but that’s a MacBook problem not a problem with this mouse, not all of Apple’s setting decisions make sense but that’s nothing new). I do really like that I can chose to just turn on the mouse with a solid red color (which preserves battery) or turn it on to change colors (reduces how much time you get out of the mouse but is a cool feature). My only complaint is that sometimes the mouse isn’t tracking perfectly and the cursor is in a completely different place than I would expect it to be (further behind where I was moving it to rather than the cursor doing its own thing), but that may also be a thing I have to change on the laptop."
552,16,Does not work
553,1,It’s very cute looks chic. Now I can find my mouse at night with out a problem.🙂
554,5,"Does not hold charge, dead after 5 months of use."
555,1,"I've been using Logitech Marble Mice for years, maybe over a decade.  I just love that you control the cursor with just your fingertips.  But it's weakness is that the Marble Mouse's scrolling function is clumsy and jerky as it lacks a legit scroll wheel.  That is probably the sole reason I bought this LED wireless mouse.The LED mouse seems to function well.  It has a sleep mode that easily wakes up and had a pretty color light around it.  I don't use it for general mousing, but for scrolling.  Once i get the cursor in the right window the mouse can be on the desk, in my lap. wherever.  It makes up for what I don't have with my Marble Mouse.  The price was right and I think if it's what I paid for it it's a good, cheap addition."
556,1,the mouse can use but the back side of the light  is broke .
557,1,Great mouse i use it for everything from gaming to normal use I recommend it
558,1,This mouse is extremely lightweight and easy to use. I love the lights that constantly change while you're using it. The best part for me is the fact that it's rechargeable...just plug it into any USB (I plug it into my laptop at the end of the day) battery usually lasts me a few full days of work. Sleep mode is great and helps prolong battery life.
559,7,I love it !!!!
560,3,Works well light weight
561,5,Been trying this for over a month now and have only used it a handful of times because the charge barely last 3 hours at most even after a full charge. Save your money
562,3,Easy to setup fit nice on the palm of your hand
563,-1,So far so good.  Looks cool and feels good.  Would buy again
564,0,"It's good but for gaming, I don’t recommend this slim one. It's ok for normal work."
565,0,Excellent price an very comfortableThere are great
566,1,"I bought the white one and at first it was only lighting up red and thought the picture was misleading. I then realized the on/off switch on the bottom actually serves two functions. One click on will turn the mouse on and glowing red. Two clicks on and the rainbow colors appear. I will say the white mouse is almost translucent, the rainbow colors illuminate the whole mouse, not just the sides. It's plug and play, very easy to use and comfortable."
567,4,"This is probably my second review in life because I hate leaving them. But I'm very disappointed that the scroll wheel stopped working right after a month of use. I don't even use it every day. Hell, I don't even use it every other day, so this definite came as a shock. Of course, the return window is closed, which go figure when you sell a cheap mouse and the seller isn't easily accessible. I'd like to think out of good character and business that I would be able to replace this mouse as I love the color and the lights on it, but what's the point if it no longer serves its purpose ???"
568,3,"Colors are just ok, I have to position the charger a certain way for it to actually charge."
569,1,This crapped out within three months. Invest in a better quality mouse. So tedious having to replace these cheap electronics so often!
570,-1,Liked it a lot until it stopped working after only using it intermittently for a couple months.  No longer will right click
571,1,Beats having to contend with the wire of a wired mouse; as well as having to use your finger on the little laptop control surface.
572,3,Great purchase!!! It’s so cute and easy to handle!!
573,1,I initially liked this mouse because it’s cute. It’s too flat to be ergonomic but that was okay. Except I’ve used it for less than a month and the scroll wheel has fallen off its track. It also dies very fast and needs to be recharged often. I don’t recommend it for anyone using a mouse regularly.
574,3,Made to seamlessly fit hands. A pleasure to use.
575,1,"My mouse never worked. I charged it the first day for the recommended time. When I tried to use it, it powered on briefly and then powered completely off. I thought it must not have charged completely. So I charged it again, and again, and again. Each time, it did the same thing. I just threw it away. Never even got to use it."
576,23,Does not hold a charge. Have to recharge every three days approximately.
577,1,its been less than 3 months but the mouse has already popped open and doesn’t work. I just wish it would last longer.
578,4,this mouse last me like a month or two . im not able to scroll up using this mouse . will not buy again
579,1,"I purchased this mouse because it was wireless and the white color with LED colors were nice. The mouse holds a charge for quite a while, works great. The colors are ok, nothing to warrant a complaint. It was a bargain and I would buy again."
580,4,I bought this mouse in late Feb 22 and the scrolling wheel has stopped working in July. The body is made of what look like cheap materials. I bought it but now can’t even find the seller to ask. Would not recommend.
581,0,"Very comfortable to use,  love it"
582,1,"I ordered this mouse in the light blue color for an eight year old girl. The mouse works well, and she loves the bright and changing colors. Highly recommend!"
583,1,Bought this mouse in March and today it stopped working. It will not charge and is now useless.
